"HD rank","Country","Subregion","Region","HD rating","HDI","Life expectancy","Mean schooling","Expected schooling","GNI per capita","GNI minus HDI","Nonincome HDI ","Well being","Fertility rate","CO2 emission","Greeenhouse gas emission","Urban pollution",1980,1990,2000,2005,2009,2010
1,"Norway","Northern europe","Europe","Very high",0.943,81.1,12.6,17.3,47557.1,6,0.975,7.6,2,10.5,5.8,16,0.796,0.844,0.913,0.938,0.941,0.941
2,"Australia","Australia and new zealand","Oceania","Very high",0.929,81.9,12,18,34430.6,16,0.979,7.5,2,19,9.6,14,0.85,0.873,0.906,0.918,0.926,0.927
3,"Netherlands","Western europe","Europe","Very high",0.91,80.7,11.6,16.8,36402.2,9,0.944,7.5,1.8,10.5,2.4,31,0.792,0.835,0.882,0.89,0.905,0.909
4,"United States","Northern america","Americas","Very high",0.91,78.5,12.4,16,43017,6,0.931,7.2,2.1,17.3,3.7,19,0.837,0.87,0.897,0.902,0.906,0.908
5,"New Zealand","Australia and new zealand","Oceania","Very high",0.908,80.7,12.5,18,23737.2,30,0.978,7.2,2.1,7.8,10,12,0.8,0.828,0.878,0.899,0.906,0.908
6,"Canada","Northern america","Americas","Very high",0.908,81,12.1,16,35165.9,10,0.944,7.7,1.7,16.4,4.7,15,0.817,0.857,0.879,0.892,0.903,0.907
7,"Ireland","Northern europe","Europe","Very high",0.908,80.6,11.6,18,29322.2,19,0.959,7.3,2.1,9.8,5.8,13,0.735,0.782,0.869,0.898,0.905,0.907
8,"Liechtenstein","Western europe","Europe","Very high",0.905,79.6,10.3,14.7,83717.5,-6,0.877,"..","..","..","..",17,"..","..","..","..","..",0.904
9,"Germany","Western europe","Europe","Very high",0.905,80.4,12.2,15.9,34854.3,8,0.94,6.7,1.5,9.6,1.9,16,0.73,0.795,0.864,0.895,0.9,0.903
10,"Sweden","Northern europe","Europe","Very high",0.904,81.4,11.7,15.7,35837.3,4,0.936,7.5,1.9,5.3,2.1,11,0.785,0.816,0.894,0.896,0.898,0.901
11,"Switzerland","Western europe","Europe","Very high",0.903,82.3,11,15.6,39923.6,0,0.926,7.5,1.5,5.3,1.2,22,0.81,0.833,0.873,0.89,0.899,0.901
12,"Japan","Eastern asia","Asia","Very high",0.901,83.4,11.6,15.1,32294.7,11,0.94,6.1,1.4,9.5,1,27,0.778,0.827,0.868,0.886,0.895,0.899
13,"Hong Kong, China (SAR)","Eastern asia","Asia","Very high",0.898,82.8,10,15.7,44805.3,-4,0.91,5.6,1.1,5.5,0.5,"..",0.708,0.786,0.824,0.85,0.888,0.894
14,"Iceland","Northern europe","Europe","Very high",0.898,81.8,10.4,18,29354.2,11,0.943,6.9,2.1,7.1,3.3,14,0.762,0.807,0.863,0.893,0.897,0.896
15,"Korea (Republic of)","Eastern asia","Asia","Very high",0.897,80.6,11.6,16.9,28230.5,12,0.945,6.1,1.4,10.6,1.2,31,0.634,0.742,0.83,0.866,0.889,0.894
16,"Denmark","Northern europe","Europe","Very high",0.895,78.8,11.4,16.9,34347.4,3,0.926,7.8,1.9,8.4,2.9,16,0.783,0.809,0.861,0.885,0.891,0.893
17,"Israel","Western asia","Asia","Very high",0.888,81.6,11.9,15.5,25849.3,14,0.939,7.4,2.9,5.4,1.1,28,0.763,0.802,0.856,0.874,0.884,0.886
18,"Belgium","Western europe","Europe","Very high",0.886,80,10.9,16.1,33357,2,0.914,6.9,1.8,9.9,1.8,21,0.757,0.811,0.876,0.873,0.883,0.885
19,"Austria","Western europe","Europe","Very high",0.885,80.9,10.8,15.3,35719.4,-4,0.908,7.3,1.4,8.1,1.9,29,0.74,0.79,0.839,0.86,0.879,0.883
20,"France","Western europe","Europe","Very high",0.884,81.5,10.6,16.1,30461.7,4,0.919,6.8,2,6.1,2.3,13,0.722,0.777,0.846,0.869,0.88,0.883
21,"Slovenia","Southern europe","Europe","Very high",0.884,79.3,11.6,16.9,24914.5,11,0.935,6.1,1.5,8.5,2.6,29,"..","..",0.805,0.848,0.876,0.882
22,"Finland","Northern europe","Europe","Very high",0.882,80,10.3,16.8,32437.8,0,0.911,7.4,1.9,10.7,3.4,15,0.759,0.794,0.837,0.875,0.877,0.88
23,"Spain","Southern europe","Europe","Very high",0.878,81.4,10.4,16.6,26507.8,6,0.92,6.2,1.5,7.4,1.7,28,0.691,0.749,0.839,0.857,0.874,0.876
24,"Italy","Southern europe","Europe","Very high",0.874,81.9,10.1,16.3,26483.5,6,0.914,6.4,1.5,7.5,1.4,23,0.717,0.764,0.825,0.861,0.87,0.873
25,"Luxembourg","Western europe","Europe","Very high",0.867,80,10.1,13.3,50556.6,-20,0.854,7.1,1.7,21.9,3.5,13,0.728,0.788,0.854,0.865,0.863,0.865
26,"Singapore","South-eastern asia","Asia","Very high",0.866,81.1,8.8,14.4,52569.3,-22,0.851,6.5,1.4,7,1.4,31,"..","..",0.801,0.835,0.856,0.864
27,"Czech Republic","Eastern europe","Europe","Very high",0.865,77.7,12.3,15.6,21404.8,14,0.917,6.2,1.5,11.3,2.1,18,"..","..",0.816,0.854,0.863,0.863
28,"United Kingdom","Northern europe","Europe","Very high",0.863,80.2,9.3,16.1,33296.1,-7,0.879,7,1.9,8.5,1.8,13,0.744,0.778,0.833,0.855,0.86,0.862
29,"Greece","Southern europe","Europe","Very high",0.861,79.9,10.1,16.5,23747.5,5,0.902,5.8,1.5,8.8,1.4,32,0.72,0.766,0.802,0.856,0.863,0.862
30,"United Arab Emirates","Western asia","Asia","Very high",0.846,76.5,9.3,13.3,59993.2,-27,0.813,7.1,1.7,34.6,6.2,89,0.629,0.69,0.753,0.807,0.841,0.845
31,"Cyprus","Western asia","Asia","Very high",0.84,79.6,9.8,14.7,24840.6,2,0.866,6.4,1.5,9.9,1.3,34,"..",0.747,0.8,0.809,0.837,0.839
32,"Andorra","Southern europe","Europe","Very high",0.838,80.9,10.4,11.5,36095.4,-19,0.836,"..","..",6.4,"..",17,"..","..","..","..","..",0.838
33,"Brunei Darussalam","South-eastern asia","Asia","Very high",0.838,78,8.6,14.1,45753.2,-25,0.819,"..",2,27,17.9,51,0.75,0.784,0.818,0.83,0.835,0.837
34,"Estonia","Northern europe","Europe","Very high",0.835,74.8,12,15.7,16799.4,13,0.89,5.1,1.7,13.6,2.3,13,"..",0.717,0.776,0.821,0.828,0.832
35,"Slovakia","Eastern europe","Europe","Very high",0.834,75.4,11.6,14.9,19997.6,8,0.875,6.1,1.4,7,1.4,13,"..",0.747,0.779,0.81,0.829,0.832
36,"Malta","Southern europe","Europe","Very high",0.832,79.6,9.9,14.4,21460.4,4,0.866,5.8,1.3,6.3,0.9,"..",0.703,0.753,0.799,0.825,0.827,0.83
37,"Qatar","Western asia","Asia","Very high",0.831,78.4,7.3,12,107721.3,-36,0.757,6.8,2.2,53.5,18,35,0.703,0.743,0.784,0.818,0.818,0.825
38,"Hungary","Eastern europe","Europe","Very high",0.816,74.4,11.1,15.3,16581.1,11,0.862,4.7,1.4,5.5,1.6,16,0.7,0.706,0.775,0.803,0.811,0.814
39,"Poland","Eastern europe","Europe","Very high",0.813,76.1,10,15.3,17450.6,7,0.853,5.8,1.4,8.3,2.7,35,"..","..",0.77,0.791,0.807,0.811
40,"Lithuania","Northern europe","Europe","Very high",0.81,72.2,10.9,16.1,16233.8,10,0.853,5.1,1.5,4.5,2.5,17,"..","..",0.749,0.793,0.802,0.805
41,"Portugal","Southern europe","Europe","Very high",0.809,79.5,7.7,15.9,20572.8,1,0.833,4.9,1.3,5.3,1.8,21,0.639,0.708,0.778,0.789,0.805,0.808
42,"Bahrain","Western asia","Asia","Very high",0.806,75.1,9.4,13.4,28169.1,-14,0.806,5.9,2.4,29,4.3,49,0.651,0.721,0.773,0.795,0.805,0.805
43,"Latvia","Northern europe","Europe","Very high",0.805,73.3,11.5,15,14293,12,0.857,4.7,1.5,3.4,2.3,13,"..",0.693,0.732,0.784,0.798,0.802
44,"Chile","South america","Americas","Very high",0.805,79.1,9.7,14.7,13329,14,0.862,6.6,1.8,4.4,1.6,62,0.63,0.698,0.749,0.779,0.798,0.802
